2026-01-19 21:53:14,331 - INFO - Database schema created/verified at ingredients.db
2026-01-19 21:53:14,333 - INFO - Found 250 ingredients in CSV file
2026-01-19 21:53:14,334 - INFO - Processing 1/250: Apple
2026-01-19 21:53:14,334 - INFO - Searching for: Apple
2026-01-19 21:53:15,887 - INFO - Found: APPLE (FDC ID: 454004)
2026-01-19 21:53:17,012 - ERROR - Error processing CSV file: OperationalError - 44 values for 45 columns
2026-01-19 21:53:17,012 - ERROR - Failed to process ingredients: 44 values for 45 columns
2026-01-19 21:54:30,793 - INFO - Database schema created/verified at ingredients.db
2026-01-19 21:54:30,794 - INFO - Found 249 ingredients in CSV file
2026-01-19 21:54:30,794 - WARNING - Row 1: Empty ingredient name, skipping
2026-01-19 21:54:30,794 - WARNING - Row 2: Empty ingredient name, skipping
2026-01-19 21:54:30,794 - WARNING - Row 3: Empty ingredient name, skipping
2026-01-19 21:54:30,795 - WARNING - Row 4: Empty ingredient name, skipping
2026-01-19 21:54:30,795 - WARNING - Row 5: Empty ingredient name, skipping
2026-01-19 21:54:30,795 - WARNING - Row 6: Empty ingredient name, skipping
2026-01-19 21:54:30,795 - WARNING - Row 7: Empty ingredient name, skipping
2026-01-19 21:54:30,795 - WARNING - Row 8: Empty ingredient name, skipping
2026-01-19 21:54:30,795 - WARNING - Row 9: Empty ingredient name, skipping
2026-01-19 21:54:30,795 - WARNING - Row 10: Empty ingredient name, skipping
2026-01-19 21:54:30,795 - WARNING - Row 11: Empty ingredient name, skipping
2026-01-19 21:54:30,795 - WARNING - Row 12: Empty ingredient name, skipping
2026-01-19 21:54:30,796 - WARNING - Row 13: Empty ingredient name, skipping
2026-01-19 21:54:30,796 - WARNING - Row 14: Empty ingredient name, skipping
2026-01-19 21:54:30,796 - WARNING - Row 15: Empty ingredient name, skipping
2026-01-19 21:54:30,796 - WARNING - Row 16: Empty ingredient name, skipping
2026-01-19 21:54:30,796 - WARNING - Row 17: Empty ingredient name, skipping
2026-01-19 21:54:30,796 - WARNING - Row 18: Empty ingredient name, skipping
2026-01-19 21:54:30,796 - WARNING - Row 19: Empty ingredient name, skipping
2026-01-19 21:54:30,796 - WARNING - Row 20: Empty ingredient name, skipping
